City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,boke,10.9409,-14.2967,24.51,97,77,0.92,GN,1697424635
340,mount sterling,38.0565,-83.9433,9.66,72,0,0.0,US,1697424636
341,wenchang,30.904,118.4887,24.53,45,0,1.29,CN,1697424636
342,ambon,-3.6954,128.1814,28.08,83,40,2.06,ID,1697424636
343,jinzhou,41.1078,121.1417,14.68,18,0,4.19,CN,1697424359
344,kasli,55.8909,60.7616,8.6,85,100,6.19,RU,1697424636
345,papao,-17.75,-149.55,26.82,79,70,5.66,PF,1697424636
346,jaisalmer,26.9147,70.9181,26.47,63,15,6.14,IN,1697424636
347,talcahuano,-36.7167,-73.1167,9.82,76,20,6.17,CL,1697424493
348,kosh-agach,50.0,88.6667,-4.83,80,73,0.45,RU,1697424637
349,benton,36.3334,-94.3335,11.27,72,100,4.12,US,1697424637
350,bestobe,52.4994,73.0975,6.43,63,62,6.88,KZ,1697424637
351,pizarro,4.9533,-77.366,25.05,91,100,1.55,CO,1697424637
352,basni,27.1667,73.65,27.05,46,52,5.68,IN,1697424637
353,nha trang,12.25,109.1833,28.0,80,90,0.56,VN,1697424637
354,arraial do cabo,-22.9661,-42.0278,22.1,93,99,6.38,BR,1697424638
355,pangai,-19.8,-174.35,25.06,73,75,8.23,TO,1697424638
356,mirnyy,62.5353,113.9611,-0.98,100,100,0.89,RU,1697424638
357,guerrero negro,27.9769,-114.0611,20.76,79,0,5.21,MX,1697424449
358,narvik,68.4384,17.4272,4.66,99,100,2.84,NO,1697424638
359,maridi,4.9158,29.4742,20.4,99,100,1.47,SS,1697424638
360,chernyshevskiy,63.0128,112.4714,0.0,99,100,1.54,RU,1697424638
361,saskatoon,52.1168,-106.6345,9.99,61,75,2.57,CA,1697424499
362,richards bay,-28.783,32.0377,18.62,92,100,2.33,ZA,1697424639
363,ain kercha,35.9247,6.6953,13.21,42,0,1.78,DZ,1697424639
364,port pirie,-33.1833,138.0167,19.03,42,2,8.69,AU,1697424639
365,grimstad,58.3405,8.5934,4.95,61,3,4.59,NO,1697424639
366,pariaman,-0.619,100.12,28.03,74,64,2.22,ID,1697424639
